Spital Uster;A.1.9.P Anteil akute Infarktformen n.n.bez. (Alter >19);8.8%;6.5%;*;13;8.3%;4.1%;*;10;
Spital Uster;A.1.10.M Transmuraler Herzinfarkt (Alter >19), Mortalität;8.0%;6.5%;1.2;50;3.4%;6.8%;0.5;58;
Spital Uster;A.1.11.M Nichttransmuraler Infarkt/NSTEMI (Alter >19), Mortalität;8.3%;5.8%;1.4;84;0.0%;5.4%;0;53;
Spital Uster;A.2 Herzinsuffizienz; ; ; ; ; ; ; ; ;
Spital Uster;A.2.1.M HD Herzinsuffizienz (Alter >19), Mortalität;9.8%;8.7%;1.1;164;9.0%;8.8%;1;166;
Spital Uster;A.2.2.M HD Herzinsuffizienz, Alter 20-44, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;A.2.3.M HD Herzinsuffizienz, Alter 45-64, Mortalität;0.0%;3.5%;0;14;4.8%;3.3%;1.4;21;
Spital Uster;A.2.4.M HD Herzinsuffizienz, Alter 65-84, Mortalität;5.5%;7.0%;0.8;91;4.5%;7.8%;0.6;88;
Spital Uster;A.2.5.M HD Herzinsuffizienz, Alter >84, Mortalität;19.0%;13.0%;1.5;58;17.9%;12.6%;1.4;56;
Spital Uster;A.3 Linksherzkatheter (LHK); ; ; ; ; ; ; ; ;
Spital Uster;A.3.1.F Fälle mit LHK mit Koronardiagnostik/­intervention insgesamt;*;*;*;48;*;*;*;70;
Spital Uster;A.3.2.M Fälle mit LHK bei Herzinfarkt (Alter >19), ohne OP am Herzen, Mortalität;0.0%;3.4%;0;29;0.0%;3.1%;0;39;
Spital Uster;A.3.3.M Fälle mit LHK ohne Herzinfarkt mit komplizierender Diagnose (Alter >19), Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;A.3.4.M Fälle mit LHK ohne Herzinfarkt ohne komplizierende Diagnose (Alter >19), Mortalität;0.0%;0.7%;0;17;0.0%;0.3%;0;23;
Spital Uster;A.3.5.P Anteil therapeutische Katheter ohne Herzinfarkt ohne komplizierende Diagnose (Alter >19);*;*;*;<10;69.6%;38.1%;*;16;
Spital Uster;A.3.6.F Fälle mit LHK bei Kindern und Jugendlichen (Alter <20);*;*;*;0;*;*;*;0;
Spital Uster;A.4 Herzrhythmusstörungen; ; ; ; ; ; ; ; ;
Spital Uster;A.4.1.F HD Herzrhythmusstörungen;*;*;*;81;*;*;*;77;
Spital Uster;A.5 Versorgung mit Schrittmacher oder implantierbarem Defibrillator; ; ; ; ; ; ; ; ;
Spital Uster;A.5.1.F Schrittmacherversorgung (Implantationen und Wechsel, inkl. Defibrillatoren);*;*;*;16;*;*;*;10;
Spital Uster;A.5.2.F Implantation oder Wechsel eines Defibrillators;*;*;*;0;*;*;*;<10;
Spital Uster;A.6 Ablative Therapie; ; ; ; ; ; ; ; ;
Spital Uster;A.6.1.F Kathetergestützte ablative Therapie;*;*;*;0;*;*;*;<10;
Spital Uster;A.6.2.F Chirurgisch ablative Therapie;*;*;*;0;*;*;*;0;
Spital Uster;A.7 Operationen am Herzen; ; ; ; ; ; ; ; ;
Spital Uster;A.7.1.F OP am Herzen insgesamt;*;*;*;0;*;*;*;<10;
Spital Uster;A.7.2.F OP an Herzklappen;*;*;*;0;*;*;*;<10;
Spital Uster;A.7.3.F OP an Koronargefässen;*;*;*;0;*;*;*;<10;
Spital Uster;A.7.4.F Andere OP am Herzen;*;*;*;0;*;*;*;0;
Spital Uster;A.7.5.F Kombinierte OP am Herzen;*;*;*;0;*;*;*;0;
Spital Uster;A.7.6.F OP am Herzen bei Kindern und Jugendlichen (Alter <20);*;*;*;0;*;*;*;0;
Spital Uster;A.7.7.M Isolierter offener Aortenklappenersatz ohne weitere OP am Herzen, Mortalität;*;*;*;0;*;*;*;<10;
Spital Uster;A.7.11.M OP nur an Koronargefässen bei Herzinfarkt (Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;A.7.12.M OP nur an Koronargefässen ohne Herzinfarkt (Alter >19), Mortalität;*;*;*;0;*;*;*;<10;
Spital Uster;A.7.13.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 20-49, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;A.7.14.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 50-59, Mortalität;*;*;*;0;*;*;*;<10;
Spital Uster;A.7.15.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 60-69, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;A.7.16.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 70-79, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;A.7.17.M OP nur an Koronargefässen ohne Herzinfarkt, Alter >79, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;A.7.18.P Anteil Beatmungsfälle >95 h bei OP nur an Koronargefässen ohne Herzinfarkt (Alter >19);*;*;*;0;0.0%;3.2%;*;0;
Spital Uster;B.1 Schlaganfall; ; ; ; ; ; ; ; ;
Spital Uster;B.1.1.M HD Schlaganfall alle Formen (Alter >19), Mortalität;13.1%;12.8%;1;122;12.4%;13.2%;0.9;89;
Spital Uster;B.1.2.M HD Schlaganfall alle Formen, Alter 20-44, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;B.1.3.M HD Schlaganfall alle Formen, Alter 45-64, Mortalität;0.0%;6.2%;0;29;0.0%;6.1%;0;14;
Spital Uster;B.1.4.M HD Schlaganfall alle Formen, Alter 65-84, Mortalität;10.9%;11.8%;0.9;64;9.6%;10.9%;0.9;52;
Spital Uster;B.1.5.M HD Schlaganfall alle Formen, Alter >84, Mortalität;33.3%;23.2%;1.4;27;27.3%;23.6%;1.2;22;
Spital Uster;B.1.6.P Anteil Schlaganfälle mit Stroke Unit Behandlung (Alter >19);0.0%;7.9%;*;0;0.0%;10.4%;*;0;
Spital Uster;B.1.7.M Hirninfarkt (ICD­10 I63, Alter >19), Mortalität;16.7%;9.4%;1.8;72;9.8%;9.3%;1.1;61;
Spital Uster;B.1.8.M Hirninfarkt (ICD­10 I63, Alter >19), Direktaufnahmen, Mortalität;15.7%;9.0%;1.7;70;10.0%;9.4%;1.1;60;
Spital Uster;B.1.9.P Anteil Hirninfarkt (ICD­10 I63, Alter >19) mit systemischer Thrombolyse;0.0%;7.6%;*;0;0.0%;9.5%;*;0;
Spital Uster;B.1.9.M Hirninfarkt (ICD­10 I63, Alter >19) mit systemischer Thrombolyse, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;B.1.10.M Intrazerebrale Blutung (ICD­10 I61, Alter >19), Mortalität;30.0%;33.1%;0.9;10;25.0%;33.4%;0.7;12;
Spital Uster;B.1.11.M Subarachnoidalblutung (ICD­10 I60, Alter >19), Mortalität;0.0%;15.0%;0;10;*;*;*;<10;
Spital Uster;B.1.12.P Anteil Schlaganfall n.n.bez. (ICD­10 I64, Alter >19);24.6%;13.8%;*;30;13.5%;12.0%;*;12;
Spital Uster;B.1.12.M Schlaganfall n.n.bez. (ICD­10 I64, Alter >19), Mortalität;3.3%;10.1%;0.3;30;16.7%;10.2%;1.6;12;
Spital Uster;B.2 Transitorisch ischämische Attacke (TIA); ; ; ; ; ; ; ; ;
Spital Uster;B.2.1.M TIA, Mortalität;0.0%;0.2%;0;20;0.0%;0.1%;0;21;
Spital Uster;B.2.2.P Anteil TIA mit Stroke Unit Behandlung;0.0%;0.5%;*;0;0.0%;0.5%;*;0;
Spital Uster;C Geriatrische Frührehablitation; ; ; ; ; ; ; ; ;
Spital Uster;C.1 Geriatrische Frührehabilitation; ; ; ; ; ; ; ; ;
Spital Uster;C.1.1.F Geriatrische Frührehabilitation;*;*;*;0;*;*;*;0;
Spital Uster;D Erkrankungen der Lunge; ; ; ; ; ; ; ; ;
Spital Uster;D.1 Lungenentzündung (Pneumonie); ; ; ; ; ; ; ; ;
Spital Uster;D.1.1.M HD Pneumonie, Mortalität;3.4%;6.3%;0.5;145;4.1%;5.2%;0.8;98;
Spital Uster;D.1.2.M HD Pneumonie, Alter <20, Mortalität;*;*;*;<10;*;*;*;0;
Spital Uster;D.1.3.M HD Pneumonie, Alter 20-44, Mortalität;0.0%;0.8%;0;15;*;*;*;<10;
Spital Uster;D.1.4.M HD Pneumonie, Alter 45-64, Mortalität;0.0%;3.5%;0;35;0.0%;2.3%;0;28;
Spital Uster;D.1.5.M HD Pneumonie, Alter 65-84, Mortalität;1.5%;6.9%;0.2;65;4.1%;6.0%;0.7;49;
Spital Uster;D.1.6.M HD Pneumonie, Alter >84, Mortalität;15.4%;12.5%;1.2;26;15.4%;11.8%;1.3;13;
Spital Uster;D.1.7.M HD Pneumonie, Alter 1-19, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität;*;*;*;<10;*;*;*;0;
Spital Uster;D.1.8.M HD Pneumonie, Alter >19, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität;2.4%;5.0%;0.5;123;3.7%;3.9%;0.9;82;
Spital Uster;D.2 Chronisch obstruktive Lungenkrankheit (COPD); ; ; ; ; ; ; ; ;
Spital Uster;D.2.1.M COPD (Alter >19), Mortalität;9.3%;3.9%;2.4;86;3.4%;3.0%;1.2;58;
Spital Uster;D.2.2.M COPD (Alter >19) mit FEV1 <35%, Mortalität;21.1%;6.9%;3.1;19;9.5%;5.2%;1.8;21;
Spital Uster;D.2.3.M COPD (Alter >19) mit FEV1 35-49%, Mortalität;0.0%;3.3%;0;26;0.0%;1.4%;0;19;
Spital Uster;D.2.4.M COPD (Alter >19) mit FEV1 50-69%, Mortalität;5.6%;1.5%;3.8;18;0.0%;1.1%;0;10;
Spital Uster;D.2.5.M COPD (Alter >19) mit FEV1 >69%, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;D.2.6.P Anteil COPD (Alter >19) mit FEV1 n.n.bez.;23.3%;33.5%;*;20;*;*;*;<10;
Spital Uster;D.2.6.M COPD (Alter >19) mit FEV1 n.n.bez., Mortalität;15.0%;5.9%;2.6;20;*;*;*;<10;
Spital Uster;D.3 Lungenkrebs; ; ; ; ; ; ; ; ;
Spital Uster;D.3.1.F Stationäre Behandlungen bei Lungenkrebs;*;*;*;91;*;*;*;91;
Spital Uster;D.4 Operationen an der Lunge; ; ; ; ; ; ; ; ;
Spital Uster;D.4.1.M Grössere Resektionen von Lunge oder Bronchien insgesamt, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;D.4.2.P Anteil Pneumonektomien bei Bronchialkarzinom;*;*;*;0;*;*;*;0;
Spital Uster;D.4.2.M Pneumonektomie bei Bronchialkarzinom, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;D.4.3.M Teilresektion der Lunge bei Bronchialkarzinom, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;E Operationen an Bauchorganen und Schilddrüse (Viszeralchirurgie); ; ; ; ; ; ; ; ;
Spital Uster;E.1 Entfernung der Gallenblase (Cholezystektomie); ; ; ; ; ; ; ; ;
Spital Uster;E.1.1.M Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor, Mortalität;0.0%;0.2%;0;128;0.0%;0.1%;0;119;
Spital Uster;E.1.2.P Anteil laparoskopische OP bei Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor;89.8%;93.1%;*;115;91.6%;93.6%;*;109;
Spital Uster;E.2 Hernienoperationen; ; ; ; ; ; ; ; ;
Spital Uster;E.2.1.M Herniotomie ohne OP am Darm, Mortalität;0.0%;0.1%;0;272;0.0%;0.1%;0;280;
Spital Uster;E.2.2.M Herniotomie mit OP am Darm, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;E.3 Eingriffe an der Schilddrüse; ; ; ; ; ; ; ; ;
Spital Uster;E.3.1.F Resektion der Schilddrüse;*;*;*;<10;*;*;*;27;
Spital Uster;E.3.2.P Anteil Beatmungsfälle >95 h bei Resektion der Schilddrüse;0.0%;0.3%;*;0;0.0%;0.3%;*;0;
Spital Uster;E.3.3.F Radiojodtherapie;*;*;*;0;*;*;*;0;
Spital Uster;E.4 Grosse Operationen an Dickdarm und Enddarm (kolorektale Operationen); ; ; ; ; ; ; ; ;
Spital Uster;E.4.1.M Kolorektale Resektionen insgesamt, Mortalität;4.3%;5.5%;0.8;93;7.1%;4.3%;1.6;70;
Spital Uster;E.4.2.M Kolonresektionen bei kolorektalem Karzinom ohne komplizierende Diagnose, Mortalität;0.0%;5.8%;0;13;8.3%;1.9%;4.4;12;
Spital Uster;E.4.3.M Kolonresektionen bei kolorektalem Karzinom mit komplizierender Diagnose, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;E.4.4.M Rektumresektionen bei kolorektalem Karzinom, Mortalität;0.0%;3.1%;0;18;*;*;*;<10;
Spital Uster;E.4.5.M Kolorektale Resektionen, bei Divertikel ohne Abszess/Perforation, Mortalität;0.0%;0.2%;0;22;0.0%;0.4%;0;21;
Spital Uster;E.4.6.M Kolorektale Resektionen, bei Divertikel mit Abszess/Perforation, Mortalität;0.0%;2.9%;0;11;*;*;*;<10;
Spital Uster;E.4.7.M Kolorektale Resektionen bei Darmischämie, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;E.4.8.F Kolorektale Resektionen bei anderer Diagnose;*;*;*;20;*;*;*;19;
Spital Uster;E.4.9.F Lokale kolorektale Eingriffe bei kolorektalem Karzinom;*;*;*;<10;*;*;*;<10;
Spital Uster;E.4.10.F Lokale kolorektale Eingriffe ohne kolorektales Karzinom;*;*;*;35;*;*;*;18;
Spital Uster;E.5 Operationen am Magen; ; ; ; ; ; ; ; ;
Spital Uster;E.5.1.F Magenresektionen insgesamt;*;*;*;<10;*;*;*;<10;
Spital Uster;E.5.2.M Magenresektionen (ohne Ösophaguseingriff) bei Magenkarzinom, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;E.5.3.M Magenresektionen mit komplexem Eingriff am Ösophagus, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;E.6 Operationen am Ösophagus; ; ; ; ; ; ; ; ;
Spital Uster;E.6.1.M Komplexe Eingriffe am Ösophagus, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;E.7 Operationen am Pankreas; ; ; ; ; ; ; ; ;
Spital Uster;E.7.1.M Pankreasresektionen insgesamt (ohne Transplantation, Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F Operationen an Gefässen; ; ; ; ; ; ; ; ;
Spital Uster;F.1 Extrakranielle Gefässoperationen; ; ; ; ; ; ; ; ;
Spital Uster;F.1.1.M Extrakranielle Gefäss­OP, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.1.2.M Perkutane Stentimplantation in extrakranielle Gefässe, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.1.3.F Weitere extrakranielle Gefäss­OP bei OP an Herz oder Aorta;*;*;*;0;*;*;*;0;
Spital Uster;F.2 Operationen bei Erweiterung der Aorta (Aortenaneurysma); ; ; ; ; ; ; ; ;
Spital Uster;F.2.1.F OP an der Aorta insgesamt;*;*;*;0;*;*;*;0;
Spital Uster;F.2.2.M Offene abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.2.3.M Endovaskuläre abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.2.4.F OP bei thorakalem oder thorakoabdominalem Aneurysma (ohne Aortenklappe);*;*;*;0;*;*;*;0;
Spital Uster;F.2.5.M Aortenaneurysma rupturiert, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;F.3 Operationen an Becken­/Beinarterien; ; ; ; ; ; ; ; ;
Spital Uster;F.3.1.F OP an Becken­/Beinarterien insgesamt;*;*;*;0;*;*;*;0;
Spital Uster;F.3.2.M OP an Becken­/Beinarterien bei Claudicatio, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.3.3.M OP an Becken­/Beinarterien bei Ruheschmerz, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.3.4.M OP an Becken­/Beinarterien bei Ulzeration oder Gangrän, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.3.5.M OP an Becken­/Beinarterien bei arterieller Embolie/Thrombose, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.3.6.M OP an Becken­/Beinarterien bei Komplikationen durch Prothesen/Implantate, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.3.7.M OP an Becken­/Beinarterien bei Aneurysma/Dissektion, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;F.3.8.F OP an Becken­/Beinarterien kombiniert mit Aorten­OP;*;*;*;0;*;*;*;0;
Spital Uster;F.3.9.F OP an Becken­/Beinarterien bei anderen komplexen Diagnosen;*;*;*;0;*;*;*;0;
Spital Uster;F.4 Amputationen; ; ; ; ; ; ; ; ;
Spital Uster;F.4.1.M Amputation im Fussbereich, kein Trauma, Mortalität;*;*;*;<10;0.0%;2.3%;0;13;
Spital Uster;F.4.2.M Amputation untere Extremität, kein Trauma, Mortalität;*;*;*;<10;*;*;*;0;
Spital Uster;G Geburtshilfe und Frauenheilkunde; ; ; ; ; ; ; ; ;
Spital Uster;G.1 Geburten; ; ; ; ; ; ; ; ;
Spital Uster;G.1.1.F Stationäre Geburten;*;*;*;871;*;*;*;895;
Spital Uster;G.1.1.P Anteil Todesfall der Mutter bei stationären Geburten;0.0%;0.0%;*;0;0.0%;0.0%;*;0;
Spital Uster;G.1.2.P Anteil vaginale Geburten mit Dammriss 3. und 4. Grades;3.0%;2.9%;*;19;2.4%;3.1%;*;15;
Spital Uster;G.1.3.P Anteil vaginale Geburten mit Episiotomie;33.6%;28.9%;*;211;35.7%;27.9%;*;228;
Spital Uster;G.1.4.P Anteil Kaiserschnitt (Sectio);27.9%;32.5%;*;243;28.7%;32.6%;*;257;
Spital Uster;G.2 Neugeborene; ; ; ; ; ; ; ; ;
Spital Uster;G.2.1.F Neugeborene <1250 g;*;*;*;<10;*;*;*;0;
Spital Uster;G.2.2.F Neugeborene <1250 g, Zuverlegungen;*;*;*;0;*;*;*;0;
Spital Uster;G.2.3.F Neugeborene <500 g;*;*;*;0;*;*;*;0;
Spital Uster;G.2.4.F Neugeborene 500-749 g;*;*;*;0;*;*;*;0;
Spital Uster;G.2.5.F Neugeborene 750-999 g;*;*;*;0;*;*;*;0;
Spital Uster;G.2.6.F Neugeborene 1000-1249 g;*;*;*;<10;*;*;*;0;
Spital Uster;G.2.7.F Neugeborene 1250-1499 g;*;*;*;0;*;*;*;0;
Spital Uster;G.2.8.F Neugeborene 1500-2499 g;*;*;*;33;*;*;*;29;
Spital Uster;G.2.9.F Neugeborene >2499 g oder ohne Gewichtsangabe;*;*;*;842;*;*;*;873;
Spital Uster;G.3 Entfernung der Gebärmutter bei gutartigen Erkrankungen (Hysterektomie); ; ; ; ; ; ; ; ;
Spital Uster;G.3.1.M Hysterektomie bei gutartigen Erkrankungen, Mortalität;0.0%;0.2%;0;88;0.0%;0.0%;0;98;
Spital Uster;G.3.2.P Anteil laparoskopische/vaginale OP bei Hysterektomien, ohne Plastik;80.5%;73.0%;*;70;90.8%;71.8%;*;89;
Spital Uster;G.4 Brustkrebs; ; ; ; ; ; ; ; ;
Spital Uster;G.4.1.F Stationäre Behandlungen bei Brustkrebs;*;*;*;93;*;*;*;117;
Spital Uster;G.5 Eingriffe an der Brust; ; ; ; ; ; ; ; ;
Spital Uster;G.5.1.F Eingriffe an der Brust insgesamt (Mammaresektionen und ­plastiken);*;*;*;79;*;*;*;70;
Spital Uster;G.5.2.F Resektionen der Mamma bei Brustkrebs;*;*;*;55;*;*;*;54;
Spital Uster;G.5.3.P Anteil brusterhaltende Resektionen bei Brustkrebs;78.2%;67.4%;*;43;77.8%;69.2%;*;42;
Spital Uster;H Erkrankungen der Harnwege und der männlichen Geschlechtsorgane; ; ; ; ; ; ; ; ;
Spital Uster;H.1 Entfernung der Niere (Nephrektomie); ; ; ; ; ; ; ; ;
Spital Uster;H.1.1.M Vollständige Nephrektomie, Mortalität;*;*;*;<10;0.0%;2.3%;0;11;
Spital Uster;H.1.2.P Anteil laparoskopische OP bei vollständiger Nephrektomie;0.0%;21.2%;*;0;0.0%;22.2%;*;0;
Spital Uster;H.1.3.P Anteil partielle Nephrektomie;0.0%;25.8%;*;0;*;*;*;<10;
Spital Uster;H.1.3.M Partielle Nephrektomie, Mortalität;*;*;*;0;*;*;*;<10;
Spital Uster;H.1.4.P Anteil laparoskopische OP bei partieller Nephrektomie;*;*;*;0;0.0%;20.5%;*;0;
Spital Uster;H.2 Nierensteine; ; ; ; ; ; ; ; ;
Spital Uster;H.2.1.F HD Nierensteine;*;*;*;91;*;*;*;112;
Spital Uster;H.2.2.P Anteil Intervention zur Steinentfernung bei HD Nierensteine;11.0%;43.4%;*;10;10.7%;44.0%;*;12;
Spital Uster;H.3 Eingriffe an der Harnblase; ; ; ; ; ; ; ; ;
Spital Uster;H.3.1.F HD Malignom der Blase;*;*;*;63;*;*;*;69;
Spital Uster;H.3.2.F TUR der Blase insgesamt;*;*;*;81;*;*;*;76;
Spital Uster;H.3.3.F TUR der Blase bei Malignom;*;*;*;57;*;*;*;58;
Spital Uster;H.3.4.P Anteil Malignom­TUR mit Instillation von Chemotherapeutika in die Harnblase;*;*;*;<10;0.0%;6.6%;*;0;
Spital Uster;H.3.5.M Entfernung der Harnblase (Zystektomie), Mortalität;*;*;*;0;*;*;*;<10;
Spital Uster;H.4 Entfernung der Prostata durch Abtragung über die Harnröhre (Prostata­TUR); ; ; ; ; ; ; ; ;
Spital Uster;H.4.1.M Prostata­TUR, Mortalität;0.0%;0.3%;0;150;0.0%;0.2%;0;152;
Spital Uster;H.5 Prostatakarzinom; ; ; ; ; ; ; ; ;
Spital Uster;H.5.1.F Prostatakarzinom (als HD oder ND);*;*;*;84;*;*;*;119;
Spital Uster;H.5.2.M Radikale Prostatovesikulektomie, Mortalität;0.0%;0.2%;0;18;0.0%;0.1%;0;22;
Spital Uster;I Orthopädische und unfallchirurgische Krankheitsbilder; ; ; ; ; ; ; ; ;
Spital Uster;I.1 Gelenkersatz, Totalendoprothese (TEP); ; ; ; ; ; ; ; ;
Spital Uster;I.1.1.M Hüft­TEP­Erstimplantation (nicht bei Frakturen), Mortalität;0.0%;0.2%;0;108;0.0%;0.1%;0;109;
Spital Uster;I.1.2.M Hüft­TEP­Wechsel und Komponentenwechsel, Mortalität;0.0%;1.3%;0;17;0.0%;0.4%;0;13;
Spital Uster;I.1.3.M Knie­TEP­Erstimplantation, Mortalität;0.0%;0.1%;0;138;0.0%;0.1%;0;153;
Spital Uster;I.1.4.M Wechsel einer Knie­TEP, Mortalität;0.0%;0.3%;0;15;0.0%;0.2%;0;21;
Spital Uster;I.1.5.M Hüft­ oder Knie­TEP mit Tumorendoprothese, Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;I.2 Operationen an der Wirbelsäule; ; ; ; ; ; ; ; ;
Spital Uster;I.2.1.F OP an der Wirbelsäule insgesamt;*;*;*;0;*;*;*;<10;
Spital Uster;I.2.2.M Exzision von Bandscheibengewebe (ohne Unfall, Tumor, komplexe OP an Wirbelsäule), Mortalität;*;*;*;0;*;*;*;0;
Spital Uster;I.3 Hüftgelenknahe Frakturen; ; ; ; ; ; ; ; ;
Spital Uster;I.3.1.M Schenkelhalsfraktur (Alter >19), Mortalität;5.5%;4.1%;1.3;55;6.9%;3.8%;1.8;58;
Spital Uster;I.3.2.M Schenkelhalsfraktur, Alter 20-59, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;I.3.3.M Schenkelhalsfraktur, Alter 60-69, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;I.3.4.M Schenkelhalsfraktur, Alter 70-79, Mortalität;*;*;*;<10;0.0%;2.4%;0;14;
Spital Uster;I.3.5.M Schenkelhalsfraktur, Alter 80-84, Mortalität;0.0%;3.2%;0;12;11.1%;3.0%;3.8;18;
Spital Uster;I.3.6.M Schenkelhalsfraktur, Alter 85-89, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Uster;I.3.7.M Schenkelhalsfraktur, Alter >89, Mortalität;10.0%;8.4%;1.2;10;*;*;*;<10;
Spital Uster;I.3.8.M Pertrochantäre Fraktur (Alter >19), Mortalität;5.9%;3.4%;1.7;51;8.7%;3.8%;2.3;46;
Spital Uster;J Komplexe, heterogene Krankheitsbilder (Tracer für Peer Review); ; ; ; ; ; ; ; ;
Spital Uster;J.1 Beatmung; ; ; ; ; ; ; ; ;
Spital Uster;J.1.1.M Beatmungsfälle >95 h (ohne Neugeborene), Mortalität;32.0%;35.0%;0.9;25;24.4%;31.8%;0.8;41;
Spital Uster;J.2 Sepsis; ; ; ; ; ; ; ; ;
Spital Uster;J.2.1.M HD Sepsis, Mortalität;20.8%;17.7%;1.2;101;15.0%;17.1%;0.9;214;
Institution;Indikator;beobachtete Rate 2009;erwartete Rate 2009;SMR 2009;Fallzahl 2009;beobachtete Rate 2010;erwartete Rate 2010;SMR 2010;Fallzahl 2010;
Spital Limmattal;A Erkrankungen des Herzens; ; ; ; ; ; ; ; ;
Spital Limmattal;A.1 Herzinfarkt; ; ; ; ; ; ; ; ;
Spital Limmattal;A.1.1.M HD Herzinfarkt (Alter >19), Mortalität;8.1%;7.2%;1.1;124;14.2%;5.9%;2.4;106;9 Fälle wurden palliativ behandelt, einer davon mit Patientenverfügung. 2 Fälle wurden unter Reanimationsbedingungen eingewiesen.
Spital Limmattal;A.1.2.M HD Herzinfarkt, Alter 20-44, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Limmattal;A.1.3.M HD Herzinfarkt, Alter 45-64, Mortalität;2.7%;2.1%;1.3;37;2.0%;1.6%;1.3;49;
Spital Limmattal;A.1.4.M HD Herzinfarkt, Alter 65-84, Mortalität;4.8%;6.8%;0.7;63;21.6%;6.7%;3.2;37;
Spital Limmattal;A.1.5.M HD Herzinfarkt, Alter >84, Mortalität;35.3%;21.9%;1.6;17;40.0%;19.3%;2.1;15;
Spital Limmattal;A.1.6.P Anteil HD Herzinfarkt (Alter >19) mit LHK oder OP an Koronargefässen;29.8%;52.2%;*;37;16.0%;54.8%;*;17;
Spital Limmattal;A.1.7.M HD Herzinfarkt (Alter >19), Direktaufnahmen nicht weiter verlegt, Mortalität;10.2%;10.9%;0.9;98;20.0%;10.2%;2;75;
Spital Limmattal;A.1.8.M HD Herzinfarkt (Alter >19), Zuverlegungen, Mortalität;0.0%;2.8%;0;10;0.0%;1.3%;0;17;
Spital Limmattal;A.1.9.P Anteil akute Infarktformen n.n.bez. (Alter >19);*;*;*;<10;*;*;*;<10;
Spital Limmattal;A.1.10.M Transmuraler Herzinfarkt (Alter >19), Mortalität;8.3%;7.6%;1.1;60;13.6%;6.4%;2.1;59;
Spital Limmattal;A.1.11.M Nichttransmuraler Infarkt/NSTEMI (Alter >19), Mortalität;3.6%;5.2%;0.7;55;9.8%;4.3%;2.3;41;
Spital Limmattal;A.2 Herzinsuffizienz; ; ; ; ; ; ; ; ;
Spital Limmattal;A.2.1.M HD Herzinsuffizienz (Alter >19), Mortalität;8.6%;8.4%;1;162;5.4%;9.2%;0.6;130;
Spital Limmattal;A.2.2.M HD Herzinsuffizienz, Alter 20-44, Mortalität;*;*;*;<10;*;*;*;<10;
Spital Limmattal;A.2.3.M HD Herzinsuffizienz, Alter 45-64, Mortalität;0.0%;2.5%;0;11;*;*;*;<10;
Spital Limmattal;A.2.4.M HD Herzinsuffizienz, Alter 65-84, Mortalität;5.9%;7.2%;0.8;101;4.3%;7.5%;0.6;69;
Spital Limmattal;A.2.5.M HD Herzinsuffizienz, Alter >84, Mortalität;16.3%;12.3%;1.3;49;7.4%;12.2%;0.6;54;
