institution;indicator;taux observé 2008;taux attendu 2008;SMR 2008;nombre de cas 2008;taux observé 2009;taux attendu 2009;SMR 2009;nombre de cas 2009;
Universitätsspital Zürich;I.1.2.M Hüft­TEP­Wechsel und Komponentenwechsel, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Zürich;I.1.3.M Knie­TEP­Erstimplantation, Mortalität;*;*;*;<10;*;*;*;0;
Universitätsspital Zürich;I.1.4.M Wechsel einer Knie­TEP, Mortalität;*;*;*;0;*;*;*;0;
Universitätsspital Zürich;I.1.5.M Hüft­ oder Knie­TEP mit Tumorendoprothese, Mortalität;*;*;*;0;*;*;*;0;
Universitätsspital Zürich;I.2 Operationen an der Wirbelsäule; ; ; ; ; ; ; ; ;
Universitätsspital Zürich;I.2.1.F OP an der Wirbelsäule insgesamt;*;*;*;216;*;*;*;299;
Universitätsspital Zürich;I.2.2.M Exzision von Bandscheibengewebe (ohne Unfall, Tumor, komplexe OP an Wirbelsäule), Mortalität;0.0%;0.1%;0.0;31;3.2%;0.0%;153.0;31;
Universitätsspital Zürich;I.3 Hüftgelenknahe Frakturen; ; ; ; ; ; ; ; ;
Universitätsspital Zürich;I.3.1.M Schenkelhalsfraktur (Alter >19), Mortalität;0.0%;5.0%;0.0;36;0.0%;3.1%;0.0;40;
Universitätsspital Zürich;I.3.2.M Schenkelhalsfraktur, Alter 20-59, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Zürich;I.3.3.M Schenkelhalsfraktur, Alter 60-69, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Zürich;I.3.4.M Schenkelhalsfraktur, Alter 70-79, Mortalität;0.0%;2.2%;0.0;11;0.0%;2.1%;0.0;15;
Universitätsspital Zürich;I.3.5.M Schenkelhalsfraktur, Alter 80-84, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Zürich;I.3.6.M Schenkelhalsfraktur, Alter 85-89, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Zürich;I.3.7.M Schenkelhalsfraktur, Alter >89, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Zürich;I.3.8.M Pertrochantäre Fraktur (Alter >19), Mortalität;2.6%;3.1%;0.8;39;7.7%;3.8%;2.0;39;
Universitätsspital Zürich;J Komplexe, heterogene Krankheitsbilder (Tracer für Peer Review); ; ; ; ; ; ; ; ;
Universitätsspital Zürich;J.1 Beatmung; ; ; ; ; ; ; ; ;
Universitätsspital Zürich;J.1.1.M Beatmungsfälle >95 h (ohne Neugeborene), Mortalität;28.1%;28.4%;1.0;327;25.1%;27.9%;0.9;495;
Universitätsspital Zürich;J.2 Sepsis; ; ; ; ; ; ; ; ;
Universitätsspital Zürich;J.2.1.M HD Sepsis, Mortalität;29.2%;14.5%;2.0;137;21.2%;15.4%;1.4;179;
Institution;Indikator;beobachtete Rate 2008;erwartete Rate 2008;SMR 2008;Fallzahl 2008;beobachtete Rate 2009;erwartete Rate 2009;SMR 2009;Fallzahl 2009;
Universitätsspital Basel;A Erkrankungen des Herzens; ; ; ; ; ; ; ; ;
Universitätsspital Basel;A.1 Herzinfarkt; ; ; ; ; ; ; ; ;
Universitätsspital Basel;A.1.1.M HD Herzinfarkt (Alter >19), Mortalität;6.7%;7.0%;1.0;748;7.7%;6.3%;1.2;723;
Universitätsspital Basel;A.1.2.M HD Herzinfarkt, Alter 20-44, Mortalität;2.2%;1.0%;2.3;45;5.1%;0.6%;8.1;39;
Universitätsspital Basel;A.1.3.M HD Herzinfarkt, Alter 45-64, Mortalität;2.8%;2.5%;1.1;285;4.8%;2.2%;2.1;251;
Universitätsspital Basel;A.1.4.M HD Herzinfarkt, Alter 65-84, Mortalität;8.0%;7.8%;1.0;338;9.5%;7.0%;1.4;369;
Universitätsspital Basel;A.1.5.M HD Herzinfarkt, Alter >84, Mortalität;17.5%;22.7%;0.8;80;10.9%;21.4%;0.5;64;
Universitätsspital Basel;A.1.6.P Anteil HD Herzinfarkt (Alter >19) mit LHK oder OP an Koronargefässen;86.1%;51.5%;*;644;85.2%;52.2%;*;616;
Universitätsspital Basel;A.1.7.M HD Herzinfarkt (Alter >19), Direktaufnahmen nicht weiter verlegt, Mortalität;10.9%;10.4%;1.1;357;13.3%;9.6%;1.4;332;
Universitätsspital Basel;A.1.8.M HD Herzinfarkt (Alter >19), Zuverlegungen, Mortalität;3.6%;4.1%;0.9;302;4.2%;3.2%;1.3;288;
Universitätsspital Basel;A.1.9.P Anteil akute Infarktformen n.n.bez. (Alter >19);1.7%;7.1%;*;13;*;*;*;<10;
Universitätsspital Basel;A.1.10.M Transmuraler Herzinfarkt (Alter >19), Mortalität;6.2%;6.6%;0.9;403;9.9%;6.4%;1.6;342;
Universitätsspital Basel;A.1.11.M Nichttransmuraler Infarkt/NSTEMI (Alter >19), Mortalität;6.9%;5.2%;1.3;332;4.8%;4.5%;1.1;372;
Universitätsspital Basel;A.2 Herzinsuffizienz; ; ; ; ; ; ; ; ;
Universitätsspital Basel;A.2.1.M HD Herzinsuffizienz (Alter >19), Mortalität;5.3%;8.9%;0.6;377;6.6%;8.2%;0.8;442;
Universitätsspital Basel;A.2.2.M HD Herzinsuffizienz, Alter 20-44, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;A.2.3.M HD Herzinsuffizienz, Alter 45-64, Mortalität;0.0%;3.6%;0.0;45;0.0%;2.6%;0.0;62;
Universitätsspital Basel;A.2.4.M HD Herzinsuffizienz, Alter 65-84, Mortalität;6.5%;8.0%;0.8;201;7.8%;7.2%;1.1;230;
Universitätsspital Basel;A.2.5.M HD Herzinsuffizienz, Alter >84, Mortalität;5.6%;12.6%;0.4;126;7.4%;12.3%;0.6;148;
Universitätsspital Basel;A.3 Linksherzkatheter (LHK); ; ; ; ; ; ; ; ;
Universitätsspital Basel;A.3.1.F Fälle mit LHK mit Koronardiagnostik/­intervention insgesamt;*;*;*;2'067;*;*;*;1'958;
Universitätsspital Basel;A.3.2.M Fälle mit LHK bei Herzinfarkt (Alter >19), ohne OP am Herzen, Mortalität;3.9%;3.6%;1.1;585;5.2%;3.0%;1.7;558;
Universitätsspital Basel;A.3.3.M Fälle mit LHK ohne Herzinfarkt mit komplizierender Diagnose (Alter >19), Mortalität;8.5%;6.9%;1.2;129;8.5%;9.5%;0.9;142;
Universitätsspital Basel;A.3.4.M Fälle mit LHK ohne Herzinfarkt ohne komplizierende Diagnose (Alter >19), Mortalität;0.4%;0.5%;0.8;1'234;0.3%;0.5%;0.7;1'155;
Universitätsspital Basel;A.3.5.P Anteil therapeutische Katheter ohne Herzinfarkt ohne komplizierende Diagnose (Alter >19);42.7%;38.2%;*;527;40.3%;37.7%;*;465;
Universitätsspital Basel;A.3.6.F Fälle mit LHK bei Kindern und Jugendlichen (Alter <20);*;*;*;0;*;*;*;<10;
Universitätsspital Basel;A.4 Herzrhythmusstörungen; ; ; ; ; ; ; ; ;
Universitätsspital Basel;A.4.1.F HD Herzrhythmusstörungen;*;*;*;563;*;*;*;579;
Universitätsspital Basel;A.5 Versorgung mit Schrittmacher oder implantierbarem Defibrillator; ; ; ; ; ; ; ; ;
Universitätsspital Basel;A.5.1.F Schrittmacherversorgung (Implantationen und Wechsel, inkl. Defibrillatoren);*;*;*;363;*;*;*;359;
Universitätsspital Basel;A.5.2.F Implantation oder Wechsel eines Defibrillators;*;*;*;150;*;*;*;124;
Universitätsspital Basel;A.6 Ablative Therapie; ; ; ; ; ; ; ; ;
Universitätsspital Basel;A.6.1.F Kathetergestützte ablative Therapie;*;*;*;262;*;*;*;321;
Universitätsspital Basel;A.6.2.F Chirurgisch ablative Therapie;*;*;*;11;*;*;*;25;
Universitätsspital Basel;A.7 Operationen am Herzen; ; ; ; ; ; ; ; ;
Universitätsspital Basel;A.7.1.F OP am Herzen insgesamt;*;*;*;611;*;*;*;684;
Universitätsspital Basel;A.7.2.F OP an Herzklappen;*;*;*;281;*;*;*;327;
Universitätsspital Basel;A.7.3.F OP an Koronargefässen;*;*;*;386;*;*;*;413;
Universitätsspital Basel;A.7.4.F Andere OP am Herzen;*;*;*;100;*;*;*;151;
Universitätsspital Basel;A.7.5.F Kombinierte OP am Herzen;*;*;*;148;*;*;*;188;
Universitätsspital Basel;A.7.6.F OP am Herzen bei Kindern und Jugendlichen  (Alter <20);*;*;*;<10;*;*;*;0;
Universitätsspital Basel;A.7.7.M Isolierter offener Aortenklappenersatz ohne weitere OP am Herzen, Mortalität;2.6%;2.9%;0.9;116;3.0%;2.6%;1.2;134;
Universitätsspital Basel;A.7.11.M OP nur an Koronargefässen bei Herzinfarkt (Alter >19), Mortalität;5.6%;2.7%;2.0;54;10.6%;6.0%;1.8;47;
Universitätsspital Basel;A.7.12.M OP nur an Koronargefässen ohne Herzinfarkt (Alter >19), Mortalität;2.3%;1.3%;1.8;218;2.2%;1.8%;1.3;223;
Universitätsspital Basel;A.7.13.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 20-49, Mortalität;0.0%;0.0%;*;12;0.0%;0.0%;*;11;
Universitätsspital Basel;A.7.14.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 50-59, Mortalität;0.0%;0.7%;0.0;43;0.0%;0.6%;0.0;41;
Universitätsspital Basel;A.7.15.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 60-69, Mortalität;0.0%;0.8%;0.0;86;1.1%;1.6%;0.7;87;
Universitätsspital Basel;A.7.16.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 70-79, Mortalität;4.5%;2.0%;2.2;66;4.2%;2.8%;1.5;72;
Universitätsspital Basel;A.7.17.M OP nur an Koronargefässen ohne Herzinfarkt, Alter >79, Mortalität;18.2%;3.6%;5.1;11;8.3%;2.8%;3.0;12;
Universitätsspital Basel;A.7.18.P Anteil Beatmungsfälle >95 h bei OP nur an Koronargefässen ohne Herzinfarkt (Alter >19);*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;B.1 Schlaganfall; ; ; ; ; ; ; ; ;
Universitätsspital Basel;B.1.1.M HD Schlaganfall alle Formen (Alter >19), Mortalität;8.4%;11.9%;0.7;594;9.0%;11.9%;0.8;647;
Universitätsspital Basel;B.1.2.M HD Schlaganfall alle Formen, Alter 20-44, Mortalität;0.0%;4.0%;0.0;32;8.8%;3.2%;2.8;34;
Universitätsspital Basel;B.1.3.M HD Schlaganfall alle Formen, Alter 45-64, Mortalität;8.3%;6.2%;1.3;144;6.1%;6.4%;0.9;148;
Universitätsspital Basel;B.1.4.M HD Schlaganfall alle Formen, Alter 65-84, Mortalität;8.4%;12.2%;0.7;333;9.4%;11.6%;0.8;360;
Universitätsspital Basel;B.1.5.M HD Schlaganfall alle Formen, Alter >84, Mortalität;11.8%;23.4%;0.5;85;11.4%;23.1%;0.5;105;
Universitätsspital Basel;B.1.6.P Anteil Schlaganfälle mit Stroke Unit Behandlung (Alter >19);...;...;*;...;12.5%;7.9%;*;81;
Universitätsspital Basel;B.1.7.M Hirninfarkt (ICD­10 I63, Alter >19), Mortalität;5.1%;7.8%;0.7;468;5.4%;7.9%;0.7;503;
Universitätsspital Basel;B.1.8.M Hirninfarkt (ICD­10 I63, Alter >19), Direktaufnahmen, Mortalität;5.2%;8.1%;0.7;400;5.5%;7.7%;0.7;434;
Universitätsspital Basel;B.1.9.P Anteil Hirninfarkt (ICD­10 I63, Alter >19) mit systemischer Thrombolyse;14.3%;7.8%;*;67;3.4%;7.6%;*;17;
Universitätsspital Basel;B.1.9.M Hirninfarkt (ICD­10 I63, Alter >19) mit systemischer Thrombolyse, Mortalität;10.4%;9.8%;1.1;67;0.0%;10.0%;0.0;17;
Universitätsspital Basel;B.1.10.M Intrazerebrale Blutung (ICD­10 I61, Alter >19), Mortalität;21.2%;29.7%;0.7;80;20.8%;27.0%;0.8;101;
Universitätsspital Basel;B.1.11.M Subarachnoidalblutung (ICD­10 I60, Alter >19), Mortalität;21.4%;14.3%;1.5;42;25.7%;16.7%;1.5;35;
Universitätsspital Basel;B.1.12.P Anteil Schlaganfall n.n.bez. (ICD­10 I64, Alter >19);*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;B.1.12.M Schlaganfall n.n.bez. (ICD­10 I64, Alter >19), Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;B.2 Transitorisch ischämische Attacke (TIA); ; ; ; ; ; ; ; ;
Universitätsspital Basel;B.2.1.M TIA, Mortalität;0.0%;0.2%;0.0;106;0.0%;0.1%;0.0;131;
Universitätsspital Basel;B.2.2.P Anteil TIA mit Stroke Unit Behandlung;...;...;*;...;*;*;*;<10;
Universitätsspital Basel;C Geriatrische Frührehablitation; ; ; ; ; ; ; ; ;
Universitätsspital Basel;C.1 Geriatrische Frührehabilitation; ; ; ; ; ; ; ; ;
Universitätsspital Basel;C.1.1.F Geriatrische Frührehabilitation;*;*;*;...;*;*;*;0;
Universitätsspital Basel;D Erkrankungen der Lunge; ; ; ; ; ; ; ; ;
Universitätsspital Basel;D.1 Lungenentzündung (Pneumonie); ; ; ; ; ; ; ; ;
Universitätsspital Basel;D.1.1.M HD Pneumonie, Mortalität;5.4%;7.0%;0.8;386;3.3%;6.4%;0.5;448;
Universitätsspital Basel;D.1.2.M HD Pneumonie, Alter <20, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;D.1.3.M HD Pneumonie, Alter 20-44, Mortalität;0.0%;1.0%;0.0;30;0.0%;0.7%;0.0;51;
Universitätsspital Basel;D.1.4.M HD Pneumonie, Alter 45-64, Mortalität;4.0%;4.0%;1.0;100;4.9%;3.6%;1.4;102;
Universitätsspital Basel;D.1.5.M HD Pneumonie, Alter 65-84, Mortalität;4.8%;7.2%;0.7;166;2.8%;6.8%;0.4;212;
Universitätsspital Basel;D.1.6.M HD Pneumonie, Alter >84, Mortalität;9.0%;12.3%;0.7;89;4.9%;12.3%;0.4;82;
Universitätsspital Basel;D.1.7.M HD Pneumonie, Alter 1-19, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität;*;*;*;<10;*;*;*;0;
Universitätsspital Basel;D.1.8.M HD Pneumonie, Alter >19, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität;3.2%;5.7%;0.6;311;2.5%;5.2%;0.5;358;
Universitätsspital Basel;D.2 Chronisch obstruktive Lungenkrankheit (COPD); ; ; ; ; ; ; ; ;
Universitätsspital Basel;D.2.1.M COPD (Alter >19), Mortalität;2.8%;3.7%;0.8;214;3.7%;3.5%;1.1;269;
Universitätsspital Basel;D.2.2.M COPD (Alter >19) mit FEV1 <35%, Mortalität;...;...;...;...;9.1%;6.1%;1.5;77;
Universitätsspital Basel;D.2.3.M COPD (Alter >19) mit FEV1 35-49%, Mortalität;...;...;...;...;1.7%;2.3%;0.7;58;
Universitätsspital Basel;D.2.4.M COPD (Alter >19) mit FEV1 50-69%, Mortalität;...;...;...;...;0.0%;1.6%;0.0;47;
Universitätsspital Basel;D.2.5.M COPD (Alter >19) mit FEV1 >69%, Mortalität;...;...;...;...;7.7%;1.7%;4.4;13;
Universitätsspital Basel;D.2.6.P Anteil COPD (Alter >19) mit FEV1 n.n.bez.;...;...;*;...;27.5%;33.5%;*;74;
Universitätsspital Basel;D.2.6.M COPD (Alter >19) mit FEV1 n.n.bez., Mortalität;...;...;...;...;1.4%;4.5%;0.3;74;
Universitätsspital Basel;D.3 Lungenkrebs; ; ; ; ; ; ; ; ;
Universitätsspital Basel;D.3.1.F Stationäre Behandlungen bei Lungenkrebs;*;*;*;405;*;*;*;495;
Universitätsspital Basel;D.4 Operationen an der Lunge; ; ; ; ; ; ; ; ;
Universitätsspital Basel;D.4.1.M Grössere Resektionen von Lunge oder Bronchien insgesamt, Mortalität;4.5%;2.8%;1.6;201;5.1%;2.6%;2.0;178;
Universitätsspital Basel;D.4.2.P Anteil Pneumonektomien bei Bronchialkarzinom;20.8%;13.6%;*;15;15.9%;9.1%;*;10;
Universitätsspital Basel;D.4.2.M Pneumonektomie bei Bronchialkarzinom, Mortalität;13.3%;12.7%;1.0;15;30.0%;9.2%;3.2;10;
Universitätsspital Basel;D.4.3.M Teilresektion der Lunge bei Bronchialkarzinom, Mortalität;7.0%;2.3%;3.0;57;5.7%;2.5%;2.3;53;
Universitätsspital Basel;E Operationen an Bauchorganen und Schilddrüse (Viszeralchirurgie); ; ; ; ; ; ; ; ;
Universitätsspital Basel;E.1 Entfernung der Gallenblase (Cholezystektomie); ; ; ; ; ; ; ; ;
Universitätsspital Basel;E.1.1.M Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor, Mortalität;0.0%;0.4%;0.0;150;0.7%;0.5%;1.3;148;
Universitätsspital Basel;E.1.2.P Anteil laparoskopische OP bei Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor;84.7%;92.0%;*;127;86.5%;93.1%;*;128;
Universitätsspital Basel;E.2 Hernienoperationen; ; ; ; ; ; ; ; ;
Universitätsspital Basel;E.2.1.M Herniotomie ohne OP am Darm, Mortalität;0.4%;0.2%;2.5;238;0.8%;0.2%;5.1;240;
Universitätsspital Basel;E.2.2.M Herniotomie mit OP am Darm, Mortalität;*;*;*;<10;27.3%;14.7%;1.9;11;
Universitätsspital Basel;E.3 Eingriffe an der Schilddrüse; ; ; ; ; ; ; ; ;
Universitätsspital Basel;E.3.1.F Resektion der Schilddrüse;*;*;*;61;*;*;*;77;
Universitätsspital Basel;E.3.2.P Anteil Beatmungsfälle >95 h bei Resektion der Schilddrüse;0.0%;0.2%;*;0;0.0%;0.3%;*;0;
Universitätsspital Basel;E.3.3.F Radiojodtherapie;*;*;*;...;*;*;*;142;
Universitätsspital Basel;E.4 Grosse Operationen an Dickdarm und Enddarm (kolorektale Operationen); ; ; ; ; ; ; ; ;
Universitätsspital Basel;E.4.1.M Kolorektale Resektionen insgesamt, Mortalität;12.6%;5.3%;2.4;159;17.0%;5.9%;2.9;165;
Universitätsspital Basel;E.4.2.M Kolonresektionen bei kolorektalem Karzinom ohne komplizierende Diagnose, Mortalität;0.0%;5.0%;0.0;31;10.5%;3.2%;3.3;19;
Universitätsspital Basel;E.4.3.M Kolonresektionen bei kolorektalem Karzinom mit komplizierender Diagnose, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;E.4.4.M Rektumresektionen bei kolorektalem Karzinom, Mortalität;4.8%;3.2%;1.5;21;0.0%;3.5%;0.0;12;
Universitätsspital Basel;E.4.5.M Kolorektale Resektionen, bei Divertikel ohne Abszess/Perforation, Mortalität;0.0%;0.4%;0.0;14;0.0%;0.7%;0.0;22;
Universitätsspital Basel;E.4.6.M Kolorektale Resektionen, bei Divertikel mit Abszess/Perforation, Mortalität;4.2%;8.6%;0.5;24;19.2%;11.0%;1.8;26;
Universitätsspital Basel;E.4.7.M Kolorektale Resektionen bei Darmischämie, Mortalität;50.0%;28.2%;1.8;20;50.0%;37.2%;1.3;18;
Universitätsspital Basel;E.4.8.F Kolorektale Resektionen bei anderer Diagnose;*;*;*;45;*;*;*;62;
Universitätsspital Basel;E.4.9.F Lokale kolorektale Eingriffe bei kolorektalem Karzinom;*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;E.4.10.F Lokale kolorektale Eingriffe ohne kolorektales Karzinom;*;*;*;122;*;*;*;100;
Universitätsspital Basel;E.5 Operationen am Magen; ; ; ; ; ; ; ; ;
Universitätsspital Basel;E.5.1.F Magenresektionen insgesamt;*;*;*;13;*;*;*;11;
Universitätsspital Basel;E.5.2.M Magenresektionen (ohne Ösophaguseingriff) bei Magenkarzinom, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;E.5.3.M Magenresektionen mit komplexem Eingriff am Ösophagus, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;E.6 Operationen am Ösophagus; ; ; ; ; ; ; ; ;
Universitätsspital Basel;E.6.1.M Komplexe Eingriffe am Ösophagus, Mortalität;*;*;*;<10;16.7%;7.1%;2.4;12;
Universitätsspital Basel;E.7 Operationen am Pankreas; ; ; ; ; ; ; ; ;
Universitätsspital Basel;E.7.1.M Pankreasresektionen insgesamt (ohne Transplantation, Alter >19), Mortalität;10.5%;5.0%;2.1;19;22.2%;7.5%;3.0;18;
Universitätsspital Basel;F Operationen an Gefässen; ; ; ; ; ; ; ; ;
Universitätsspital Basel;F.1 Extrakranielle Gefässoperationen; ; ; ; ; ; ; ; ;
Universitätsspital Basel;F.1.1.M Extrakranielle Gefäss­OP, Mortalität;0.0%;0.4%;0.0;50;0.0%;0.5%;0.0;89;
Universitätsspital Basel;F.1.2.M Perkutane Stentimplantation in extrakranielle Gefässe, Mortalität;0.0%;2.0%;0.0;18;0.0%;1.2%;0.0;14;
Universitätsspital Basel;F.1.3.F Weitere extrakranielle Gefäss­OP bei OP an Herz oder Aorta;*;*;*;10;*;*;*;12;
Universitätsspital Basel;F.2 Operationen bei Erweiterung der Aorta (Aortenaneurysma); ; ; ; ; ; ; ; ;
Universitätsspital Basel;F.2.1.F OP an der Aorta insgesamt;*;*;*;45;*;*;*;55;
Universitätsspital Basel;F.2.2.M Offene abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität;9.5%;4.0%;2.4;21;7.7%;3.0%;2.5;26;
Universitätsspital Basel;F.2.3.M Endovaskuläre abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität;*;*;*;<10;9.1%;4.0%;2.3;11;
Universitätsspital Basel;F.2.4.F OP bei thorakalem oder thorakoabdominalem Aneurysma (ohne Aortenklappe);*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;F.2.5.M Aortenaneurysma rupturiert, Mortalität;66.7%;44.3%;1.5;21;50.0%;45.3%;1.1;24;
Universitätsspital Basel;F.3 Operationen an Becken­/Beinarterien; ; ; ; ; ; ; ; ;
Universitätsspital Basel;F.3.1.F OP an Becken­/Beinarterien insgesamt;*;*;*;71;*;*;*;99;
Universitätsspital Basel;F.3.2.M OP an Becken­/Beinarterien bei Claudicatio, Mortalität;...;...;...;...;*;*;*;<10;
Universitätsspital Basel;F.3.3.M OP an Becken­/Beinarterien bei Ruheschmerz, Mortalität;...;...;...;...;*;*;*;<10;
Universitätsspital Basel;F.3.4.M OP an Becken­/Beinarterien bei Ulzeration oder Gangrän, Mortalität;...;...;...;...;*;*;*;<10;
Universitätsspital Basel;F.3.5.M OP an Becken­/Beinarterien bei arterieller Embolie/Thrombose, Mortalität;4.2%;3.5%;1.2;24;0.0%;3.1%;0.0;38;
Universitätsspital Basel;F.3.6.M OP an Becken­/Beinarterien bei Komplikationen durch Prothesen/Implantate, Mortalität;*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;F.3.7.M OP an Becken­/Beinarterien bei Aneurysma/Dissektion, Mortalität;*;*;*;<10;0.0%;2.9%;0.0;15;
Universitätsspital Basel;F.3.8.F OP an Becken­/Beinarterien kombiniert mit Aorten­OP;*;*;*;<10;*;*;*;16;
Universitätsspital Basel;F.3.9.F OP an Becken­/Beinarterien bei anderen komplexen Diagnosen;*;*;*;31;*;*;*;11;
Universitätsspital Basel;F.4 Amputationen; ; ; ; ; ; ; ; ;
Universitätsspital Basel;F.4.1.M Amputation im Fussbereich, kein Trauma, Mortalität;2.9%;2.4%;1.2;70;1.4%;3.5%;0.4;74;
Universitätsspital Basel;F.4.2.M Amputation untere Extremität, kein Trauma, Mortalität;11.8%;10.0%;1.2;17;17.2%;11.8%;1.5;29;
Universitätsspital Basel;G Geburtshilfe und Frauenheilkunde; ; ; ; ; ; ; ; ;
Universitätsspital Basel;G.1 Geburten; ; ; ; ; ; ; ; ;
Universitätsspital Basel;G.1.1.F Stationäre Geburten;*;*;*;1'855;*;*;*;2'077;
Universitätsspital Basel;G.1.1.P Anteil Todesfall der Mutter bei stationären Geburten;0.0%;0.0%;*;0;0.0%;0.0%;*;0;
Universitätsspital Basel;G.1.2.P Anteil vaginale Geburten mit Dammriss 3. und 4. Grades;4.7%;2.8%;*;62;5.8%;2.9%;*;87;
Universitätsspital Basel;G.1.3.P Anteil vaginale Geburten mit Episiotomie;27.8%;29.1%;*;365;32.5%;28.9%;*;490;
Universitätsspital Basel;G.1.4.P Anteil Kaiserschnitt (Sectio);29.2%;32.8%;*;541;27.3%;32.5%;*;567;
Universitätsspital Basel;G.2 Neugeborene; ; ; ; ; ; ; ; ;
Universitätsspital Basel;G.2.1.F Neugeborene <1250 g;*;*;*;...;*;*;*;37;
Universitätsspital Basel;G.2.2.F Neugeborene <1250 g, Zuverlegungen;*;*;*;...;*;*;*;<10;
Universitätsspital Basel;G.2.3.F Neugeborene <500 g;*;*;*;...;*;*;*;12;
Universitätsspital Basel;G.2.4.F Neugeborene 500-749 g;*;*;*;...;*;*;*;<10;
Universitätsspital Basel;G.2.5.F Neugeborene 750-999 g;*;*;*;...;*;*;*;<10;
Universitätsspital Basel;G.2.6.F Neugeborene 1000-1249 g;*;*;*;...;*;*;*;<10;
Universitätsspital Basel;G.2.7.F Neugeborene 1250-1499 g;*;*;*;...;*;*;*;13;
Universitätsspital Basel;G.2.8.F Neugeborene 1500-2499 g;*;*;*;...;*;*;*;157;
Universitätsspital Basel;G.2.9.F Neugeborene >2499 g oder ohne Gewichtsangabe;*;*;*;...;*;*;*;2'045;
Universitätsspital Basel;G.3 Entfernung der Gebärmutter bei gutartigen Erkrankungen (Hysterektomie); ; ; ; ; ; ; ; ;
Universitätsspital Basel;G.3.1.M Hysterektomie bei gutartigen Erkrankungen, Mortalität;0.0%;0.0%;0.0;137;0.0%;0.2%;0.0;118;
Universitätsspital Basel;G.3.2.P Anteil laparoskopische/vaginale OP bei Hysterektomien, ohne Plastik;61.3%;70.7%;*;84;65.3%;73.0%;*;77;
Universitätsspital Basel;G.4 Brustkrebs; ; ; ; ; ; ; ; ;
Universitätsspital Basel;G.4.1.F Stationäre Behandlungen bei Brustkrebs;*;*;*;206;*;*;*;358;
Universitätsspital Basel;G.5 Eingriffe an der Brust; ; ; ; ; ; ; ; ;
Universitätsspital Basel;G.5.1.F Eingriffe an der Brust insgesamt (Mammaresektionen und ­plastiken);*;*;*;252;*;*;*;280;
Universitätsspital Basel;G.5.2.F Resektionen der Mamma bei Brustkrebs;*;*;*;139;*;*;*;166;
Universitätsspital Basel;G.5.3.P Anteil brusterhaltende Resektionen bei Brustkrebs;68.3%;64.7%;*;95;69.3%;67.4%;*;115;
Universitätsspital Basel;H Erkrankungen der Harnwege und der männlichen Geschlechtsorgane; ; ; ; ; ; ; ; ;
Universitätsspital Basel;H.1 Entfernung der Niere (Nephrektomie); ; ; ; ; ; ; ; ;
Universitätsspital Basel;H.1.1.M Vollständige Nephrektomie, Mortalität;1.4%;1.1%;1.3;72;1.5%;1.8%;0.9;65;
Universitätsspital Basel;H.1.2.P Anteil laparoskopische OP bei vollständiger Nephrektomie;69.4%;24.2%;*;50;50.8%;21.2%;*;33;
Universitätsspital Basel;H.1.3.P Anteil partielle Nephrektomie;*;*;*;<10;13.3%;25.8%;*;10;
Universitätsspital Basel;H.1.3.M Partielle Nephrektomie, Mortalität;*;*;*;<10;10.0%;0.6%;17.5;10;
Universitätsspital Basel;H.1.4.P Anteil laparoskopische OP bei partieller Nephrektomie;*;*;*;<10;*;*;*;<10;
Universitätsspital Basel;H.2 Nierensteine; ; ; ; ; ; ; ; ;
Universitätsspital Basel;H.2.1.F HD Nierensteine;*;*;*;165;*;*;*;283;
Universitätsspital Basel;H.2.2.P Anteil Intervention zur Steinentfernung bei HD Nierensteine;73.9%;43.0%;*;122;57.2%;43.4%;*;162;
Universitätsspital Basel;H.3 Eingriffe an der Harnblase; ; ; ; ; ; ; ; ;
Universitätsspital Basel;H.3.1.F HD Malignom der Blase;*;*;*;121;*;*;*;120;
